circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,R N REDDY COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,148.0,7.2
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SHIVA SAI NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,5,5.0,797.0,10.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SHIVASAI NAGAR (J),LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,0.0,3.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,SAI NAGAR COLONY-2,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,2364.0,60.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,SAI NAGAR COLONY-3,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,13,12.0,3376.0,34.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,SHIVAPURI COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,9,9.0,1836.0,16.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,SRINIVASA HILLS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,902.0,7.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,SY NO 58  WEAKER SECTION,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,1581.0,20.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,TYAGA RAYA NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,21,20.0,3432.0,44.5
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,VENKATARAMANA COLN,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,15,15.0,2818.0,35.39
SAROORNAGAR,SAROORNAGAR,L B NAGAR,BANDLAGUDA,VIJAYA GARDEN,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,8,8.0,1480.0,19.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY, BANJARA NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,353.0,4.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY, KILLAMAISAMMA,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,4793.0,42.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,ALKAPURI &SAI BABA TEMPLE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,23,23.0,4628.0,53.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,CHITRA LAYOUT ,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,12,12.0,4591.0,26.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,SREEDHAR COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,4,4.0,1113.0,8.0
SAROORNAGAR,CHAMPAPET,CHAMPAPET,MEERPET,VENKATADRI COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,915.0,7.5
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BAIRAMALGUDA,ABYUDAYA NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,11.0,2807.0,24.0
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BAIRAMALGUDA,ADIKAR NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,554.0,4.75
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BAIRAMALGUDA,ALTHAF NAGAR,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,3,3.0,953.0,6.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,DWARAKA NAGAR ,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,220.0,2.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,GREEN HILLS  COLONY,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,10,10.0,2682.0,18.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,MARGADARSI CLY & MORE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,17,17.0,3922.0,37.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,MOYYA NAGAR ,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,1,1.0,339.0,2.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,N T R NAGAR ,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,31,25.0,5022.0,85.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,N T R NAGAR HANUMAN TEMPLE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,11,11.0,2030.0,27.75
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,R K PURAM & MEHAILA MANDALI,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,14,14.0,3478.0,40.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,RKPURAM-II& HANUMAN TEMPLE,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,2,2.0,385.0,2.0
SAROORNAGAR,SAROORNAGAR,L B NAGAR,GREEN HILLS COLONY,SAROJINI & SAGAR HILLS,LOCALBODIES-STREETLIGHT/PWS SCHEME,6,31,31.0,8634.0,72.75
