circle,division,subdivision,section,area,catcode,catdesc,totservices,billedservices,units,load
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,JAITHPUR,5,Agriculture,26,0,0,130.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,JAMBALDARI,5,Agriculture,1,0,0,5.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,KAMANA,5,Agriculture,23,0,0,115.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,KANNERGAOM,5,Agriculture,17,0,0,85.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,KIRDI,5,Agriculture,4,0,0,20.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,KOMATI GUDA,5,Agriculture,32,0,0,160.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,LANJANVEERA,5,Agriculture,4,0,0,25.0
ASIFABAD,ASIFABAD,ASIFABAD,WANKIDI,LENDIGUDA  H/O. INDHANI,5,Agriculture,13,0,0,65.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,AINAM,5,Agriculture,126,0,0,630.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,AMARAGONDA,5,Agriculture,38,0,0,190.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,BAMANAGAR,5,Agriculture,21,0,0,105.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,BEEBRA,5,Agriculture,40,0,0,200.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,BRAHAMANA CHICHALA,5,Agriculture,93,0,0,465.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,CHANDRAPALLY,5,Agriculture,82,0,0,410.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,CHINNA AIMAM,5,Agriculture,4,0,0,20.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,CHINNA RASAPALLI,5,Agriculture,55,0,0,275.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,DAHEGAOM,5,Agriculture,244,0,0,1220.0
ASIFABAD,SIRPUR KAGAZNAGAR,KAGAZNAGAR,DAHEGAOM,DEVAJIGUDA,5,Agriculture,8,0,0,40.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,VYGAOM,5,Agriculture,1,0,0,5.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,KOWTALA,YAPALAGUDA,5,Agriculture,9,0,0,45.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,ACHELLY,5,Agriculture,24,0,0,125.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,BENGALI CAMP (SIRPUR-T),5,Agriculture,5,0,0,25.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,BHUPALAPATNAM,5,Agriculture,3,0,0,15.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,CHINCHU PALLY,5,Agriculture,30,0,0,160.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,CHINTAKUNTA,5,Agriculture,8,0,0,40.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,DHORPALLY,5,Agriculture,27,0,0,135.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,DUBBAGUDA,5,Agriculture,17,0,0,85.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,HEERAPUR,5,Agriculture,45,0,0,225.0
ASIFABAD,SIRPUR KAGAZNAGAR,KOWTALA,SIRPUR - T,HUDIKILI,5,Agriculture,27,0,0,135.0
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,PRAGALLAPALLY,5,Agriculture,33,0,0,182.5
BHADRADRI KOTHAGUDEM,BHADRACHALAM,CHERLA,DUMMUGUDEM,RAMACHANDRAPURAM (D),5,Agriculture,5,0,0,25.0
